date,action,symbol,shares,price,value,cost,cash_after
2009-11-02,BUY,XLE,3025,32.96551513671875,99720.68328857422,149.58102493286134,129.735686492917
2009-11-09,SELL,XLE,3025,34.48927688598633,104330.06258010864,156.49509387016298,104303.3031727314
2009-11-09,BUY,XLP,6015,17.297008514404297,104041.50621414185,156.06225932121276,105.73469926833059
2009-11-16,SELL,XLP,6015,17.452896118164062,104979.17015075684,157.46875522613527,104927.43609479904
2009-11-16,BUY,XLV,4572,22.8889217376709,104648.15018463135,156.97222527694703,122.31368489074521
2009-11-23,SELL,XLV,4572,23.337867736816406,106700.73129272461,160.0510969390869,106662.99388067627
2009-11-23,BUY,XLB,4577,23.24444580078125,106389.82843017578,159.58474264526367,113.58070785521704
2009-12-07,SELL,XLB,4577,23.11676788330078,105805.44660186768,158.7081699028015,105760.31913982009
2009-12-07,BUY,XLV,4480,23.54332733154297,105474.1064453125,158.21115966796876,128.00153483961185
2009-12-14,SELL,XLV,4480,24.022708892822266,107621.73583984375,161.43260375976564,107588.3047709236
2009-12-14,BUY,XLU,5855,18.329225540161133,107317.61553764343,160.97642330646516,109.71280997370195
2009-12-28,SELL,XLU,5855,18.274169921875,106995.26489257812,160.49289733886718,106944.48480521295
2009-12-28,BUY,VNQ,4287,24.87836456298828,106653.54888153076,159.98032332229616,130.9556003598991
2010-01-11,SELL,VNQ,4287,24.172039031982422,103625.53133010864,155.43829699516297,103601.04863347337
2010-01-11,BUY,XLB,4171,24.770919799804688,103319.50648498535,154.97925972747802,126.56288876054168
2010-01-19,SELL,XLB,4171,24.49275016784668,102159.2609500885,153.23889142513275,102132.58494742391
2010-01-19,BUY,XLF,10966,9.289934158325195,101873.41798019409,152.81012697029115,106.3568402595265
2010-01-25,SELL,XLF,10966,8.755745887756348,96015.50940513611,144.02326410770416,95977.84298128793
2010-01-25,BUY,XLV,3952,24.22425651550293,95734.26174926758,143.60139262390135,99.97983939645928
2010-02-08,SELL,XLV,3952,23.474428176879883,92770.9401550293,139.15641023254395,92731.7635841932
2010-02-08,BUY,XLP,5436,17.01496124267578,92493.32931518555,138.73999397277834,99.6942750348826
2010-03-01,SELL,XLP,5436,17.84767723083496,97019.97342681885,145.52996014022827,96974.13774171351
2010-03-01,BUY,VNQ,3985,24.269088745117188,96712.31864929199,145.068477973938,116.75061444757739
2010-07-12,SELL,VNQ,3985,26.278121948242188,104718.31596374512,157.07747394561767,104677.98910424707
2010-10-18,BUY,VNQ,3425,30.48188018798828,104400.43964385986,156.60065946578982,120.94880092141102
2010-12-27,SELL,VNQ,3425,30.76539421081543,105371.47517204285,158.05721275806428,105334.36676020619
2010-12-27,BUY,XLE,2579,40.7315673828125,105046.71228027344,157.57006842041017,130.0844115123473
2011-01-18,SELL,XLE,2579,43.10862350463867,111177.14001846313,166.7657100276947,111140.45871994778
2011-01-18,BUY,XLF,10753,10.309842109680176,110861.73220539093,166.2925983080864,112.43391624875949
2011-01-24,SELL,XLF,10753,10.19818115234375,109661.04193115234,164.4915628967285,109608.98428450437
2011-01-24,BUY,XLE,2562,42.665958404541016,109310.18543243408,163.96527814865112,134.8335739216418
2011-04-25,SELL,XLE,2562,47.804866790771484,122476.06871795654,183.71410307693483,122427.18818880124
2011-04-25,BUY,XLP,5847,20.883085250854492,122103.39946174622,183.15509919261933,140.6336278624076
2011-05-02,SELL,XLP,5847,21.384498596191406,125035.16329193115,187.55274493789673,124988.24417485566
2011-05-02,BUY,XLV,4471,27.87993812561035,124651.20335960388,186.97680503940583,150.06401021237252
2011-06-20,SELL,XLV,4471,27.638803482055664,123573.09036827087,185.35963555240633,123537.79474293084
2011-06-20,BUY,XLU,6020,20.46804428100586,123217.62657165527,184.8264398574829,135.34173141808424
2011-07-18,SELL,XLU,6020,20.38168716430664,122697.75672912598,184.04663509368896,122649.05182545037
2011-07-18,BUY,XLY,3644,33.572139739990234,122336.87721252441,183.5053158187866,128.66929710717523
2011-08-01,SELL,XLY,3644,33.18509292602539,120926.47862243652,181.38971793365477,120873.75820161005
